Accession Number,Entrez Gene Symbol,Kinase,AMG-706,BIBF-1120 (derivative),CI-1040,GSK-461364A,PI-103,SKI-606,Sorafenib,SU-14813,Sunitinib,TG-100-115,VX-680/MK-0457,VX-745
NP_005897.1,MAK,MAK,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_005912.1,MAP3K1,MAP3K1,10001,10001,10001,1500,10001,4400,10001,10001,10001,10001,10001,10001
NP_001001671.2,MAP3K15,MAP3K15,10001,1400,10001,10001,10001,10001,10001,1200,1300,10001,10001,10001
NP_006600.3,MAP3K2,MAP3K2,6900,9.4,10001,10001,10001,30,10001,73,57,10001,1100,10001
NP_002392.2,MAP3K3,MAP3K3,2100,34,10001,10001,10001,54,10001,300,220,10001,1900,10001
NP_005913.2,MAP3K4,MAP3K4,10001,10001,10001,10001,10001,110,10001,10001,4800,10001,2500,10001
NP_004570.2,MAP4K2,MAP4K2,10001,290,10001,3200,10001,3.1,10001,1700,33,10001,2600,10001
NP_003609.2,MAP4K3,MAP4K3,10001,290,10001,10001,10001,5.1,10001,210,180,10001,290,10001
NP_663719.1,MAP4K4,MAP4K4,5800,150,10001,10001,10001,8.2,4800,260,140,10001,2400,10001
NP_006566.2,MAP4K5,MAP4K5,10001,390,10001,10001,10001,0.5,1600,300,41,10001,83,10001
NP_116584.2,MAPKAPK2,MAPKAPK2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,3800,10001
NP_003659.2,MAPKAPK5,MAPKAPK5,10001,10001,10001,10001,10001,10001,10001,2800,10001,10001,10001,10001
NP_061120.3,MARK1,MARK1,10001,1400,10001,10001,10001,10001,10001,1500,1200,10001,4900,10001
NP_059672.2,MARK2,MARK2,10001,1400,10001,10001,10001,10001,10001,440,310,10001,1400,10001
NP_002367.4,MARK3,MARK3,10001,770,10001,10001,10001,10001,10001,1100,410,10001,2500,10001
NP_113605.2,MARK4,MARK4,10001,2000,10001,10001,10001,10001,10001,2000,3600,10001,4900,10001
NP_055790.1,MAST1,MAST1,10001,4600,10001,10001,10001,350,10001,300,200,10001,10001,10001
NP_002746.1,MAP2K1,MEK1,10001,10,120,10001,10001,19,10001,77,130,10001,1800,10001
NP_109587.1,MAP2K2,MEK2,10001,42,370,10001,10001,9.9,10001,120,110,10001,2000,10001
NP_002747.2,MAP2K3,MEK3,10001,2100,10001,10001,10001,2600,10001,2200,1700,6600,10001,10001
NP_003001.1,MAP2K4,MEK4,10001,3700,10001,10001,10001,2600,10001,1400,700,4000,10001,10001
NP_660143.1,MAP2K5,MEK5,10001,1.8,10001,10001,10001,8.2,190,75,46,10001,260,10001
NP_002749.2,MAP2K6,MEK6,10001,10001,10001,10001,10001,1300,10001,5500,5200,10001,2600,10001
NP_055606.1,MELK,MELK,10001,4.9,10001,10001,10001,10001,10001,340,350,10001,240,10001
AAB60430.1,MERTK,MERTK,10001,8.5,10001,4600,10001,110,3600,66,26,10001,1700,10001
NP_000236.2,MET,MET,10001,200,10001,10001,10001,2200,10001,10001,7200,10001,670,10001
NP_000236.2,MET,MET(M1250T),10001,340,10001,10001,10001,6800,10001,3200,1200,10001,480,10001
NP_000236.2,MET,MET(Y1235D),10001,460,10001,10001,10001,3100,10001,10001,4700,10001,360,10001
NP_001020108.1,MINK1,MINK,10001,82,10001,10001,10001,3.2,10001,69,29,10001,1100,10001
NP_660186.1,MAP2K7,MKK7,10001,10001,10001,10001,10001,5300,10001,10001,10001,10001,10001,10001
NP_001129025.1,MKNK1,MKNK1,10001,10001,10001,10001,10001,10001,230,5100,3900,880,10001,10001
NP_060042.2,MKNK2,MKNK2,10001,10001,10001,10001,10001,10001,130,5500,5700,720,5200,10001
NP_872299.2,MYLK3,MLCK,10001,110,10001,10001,10001,10001,9600,42,23,10001,15,10001
NP_149132.2,MAP3K9,MLK1,10001,220,10001,3000,10001,2700,10001,2600,3400,10001,390,10001
NP_002437.2,MAP3K10,MLK2,10001,2300,10001,10001,10001,10001,10001,10001,10001,10001,1800,10001
NP_002410.1,MAP3K11,MLK3,10001,700,10001,10001,10001,2700,10001,1700,1300,10001,680,10001
NP_003598.2,CDC42BPA,MRCKA,10001,10001,10001,10001,1800,10001,10001,10001,10001,10001,10001,10001
NP_006026.3,CDC42BPB,MRCKB,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_006273.1,STK4,MST1,10001,9,10001,10001,10001,190,10001,130,19,10001,200,10001
NP_002438.2,MST1R,MST1R,10001,10001,10001,10001,10001,6300,10001,10001,10001,10001,1300,10001
NP_006272.1,STK3,MST2,10001,38,10001,10001,10001,370,10001,65,56,10001,510,10001
NP_003567.2,STK24,MST3,10001,110,10001,10001,10001,380,10001,100,63,10001,3600,10001
NP_057626.2,MST4,MST4,10001,49,10001,10001,10001,37,10001,330,340,10001,3500,10001
NP_004949.1,FRAP1,MTOR,10001,10001,10001,10001,12,10001,10001,10001,10001,620,10001,10001
NP_005583.1,MUSK,MUSK,10001,590,10001,10001,10001,10001,130,100,490,10001,300,10001
NP_444254.3,MYLK,MYLK,10001,290,10001,10001,1500,490,10001,360,280,10001,10001,10001
NP_149109.1,MYLK2,MYLK2,10001,4000,10001,10001,10001,10001,5400,190,49,10001,43,10001
NP_001012418.1,MYLK4,MYLK4,10001,440,10001,10001,10001,10001,10001,32,15,10001,2200,10001
NP_059129.3,MYO3A,MYO3A,10001,10001,10001,10001,10001,6200,10001,1400,3100,10001,10001,10001
NP_001077084.1,MYO3B,MYO3B,10001,2700,10001,10001,10001,2300,7100,10001,4500,10001,10001,10001
NP_009202.1,STK38,NDR1,10001,10001,10001,10001,10001,10001,10001,700,410,10001,10001,10001
NP_055815.1,STK38L,NDR2,10001,10001,10001,10001,10001,10001,10001,2000,970,10001,6900,10001
NP_036356.1,NEK1,NEK1,10001,10001,10001,1800,10001,10001,10001,10001,10001,3800,10001,10001
NP_665917.1,NEK11,NEK11,10001,10001,10001,10001,10001,650,10001,10001,10001,10001,10001,10001
NP_002488.1,NEK2,NEK2,10001,10001,10001,260,10001,1600,10001,1100,1400,10001,10001,10001
NP_002489.1,NEK3,NEK3,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_003148.2,NEK4,NEK4,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_954983.1,NEK5,NEK5,10001,10001,10001,1100,10001,10001,10001,10001,10001,10001,4200,10001
NP_055212.2,NEK6,NEK6,10001,10001,10001,10001,10001,10001,10001,600,10001,10001,10001,10001
NP_598001.1,NEK7,NEK7,10001,10001,10001,10001,10001,10001,10001,3200,4100,10001,8700,10001
NP_149107.3,NEK9,NEK9,10001,10001,10001,1100,10001,10001,10001,10001,10001,10001,10001,10001
NP_699192.1,MGC42105,NIM1,10001,10001,10001,6400,10001,1500,10001,1100,850,10001,10001,10001
NP_057315.3,NLK,NLK,10001,10001,10001,10001,10001,2200,640,10001,10001,10001,10001,10001
NP_005100.1,OXSR1,OSR1,10001,1300,10001,10001,10001,10001,10001,1600,530,2500,10001,10001
NP_620581.1,MAPK14,p38-alpha,10001,10001,10001,10001,10001,10001,370,10001,10001,10001,10001,2.8
NP_002742.3,MAPK11,p38-beta,10001,10001,10001,10001,10001,10001,230,10001,10001,10001,10001,74
NP_002745.1,MAPK13,p38-delta,10001,10001,10001,10001,10001,10001,6600,10001,10001,10001,10001,10001
AAB40118.1,MAPK12,p38-gamma,10001,10001,10001,10001,10001,10001,7600,10001,10001,10001,10001,10001
NP_002567.3,PAK1,PAK1,10001,10001,10001,10001,10001,2300,10001,10001,10001,10001,4400,10001
NP_002568.2,PAK2,PAK2,10001,3300,10001,10001,10001,1900,10001,10001,10001,10001,5700,10001
NP_002569.1,PAK3,PAK3,10001,210,10001,10001,10001,5700,10001,190,16,10001,3300,10001
NP_001014834.1,PAK4,PAK4,10001,3000,10001,10001,10001,10001,10001,1200,2300,10001,4300,10001
NP_064553.1,PAK6,PAK6,10001,10001,10001,10001,10001,10001,10001,10001,2400,10001,9700,10001
NP_065074.1,PAK7,PAK7,10001,1300,10001,10001,10001,10001,10001,1300,640,10001,3300,10001
NP_006192.1,PCTK1,PCTK1,10001,21,10001,10001,10001,2400,10001,940,150,10001,230,10001
CAA47004.1,PCTK2,PCTK2,10001,93,10001,10001,10001,10001,1600,10001,1200,10001,5600,10001
NP_002587.2,PCTK3,PCTK3,10001,510,10001,10001,10001,10001,10001,3200,1700,10001,10001,10001
NP_006197.1,PDGFRA,PDGFRA,10,16,10001,10001,10001,5100,62,1.1,0.79,10001,1600,8800
NP_002600.1,PDGFRB,PDGFRB,9.1,15,3100,2900,10001,200,37,0.29,0.075,10001,310,8400
NP_002604.1,PDPK1,PDPK1,10001,2800,10001,10001,10001,10001,10001,2600,3500,10001,10001,10001
XP_001349680.1,PFB0815w,PFCDPK1(P.falciparum),10001,1200,10001,10001,10001,10001,220,10001,1300,10001,10001,10001
XP_001350280.1,MAL13P1.279,PFPK5(P.falciparum),10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_631897.1,PFTK2,PFTAIRE2,10001,10001,10001,10001,10001,1600,2900,10001,10001,10001,10001,10001
NP_036527.1,PFTK1,PFTK1,10001,470,10001,10001,10001,1400,2900,1100,270,10001,10001,10001
NP_006204.1,PHKG1,PHKG1,10001,140,10001,10001,10001,340,10001,83,5.5,10001,2200,10001
NP_000285.1,PHKG2,PHKG2,10001,260,10001,10001,10001,1300,10001,100,5.9,10001,4400,10001
NP_002637.2,PIK3C2B,PIK3C2B,10001,10001,10001,2800,10,10001,10001,10001,10001,7.3,10001,10001
NP_004561.2,PIK3C2G,PIK3C2G,10001,10001,10001,10001,41,10001,10001,10001,10001,3.2,10001,10001
NP_006209.2,PIK3CA,PIK3CA,10001,10001,10001,10001,1.5,10001,10001,10001,10001,59,10001,10001
NP_006209.2,PIK3CA,PIK3CA(C420R),10001,10001,10001,10001,1.3,10001,10001,10001,10001,98,10001,10001
NP_006209.2,PIK3CA,PIK3CA(E542K),10001,10001,10001,10001,1.4,10001,10001,10001,10001,83,10001,10001
NP_006209.2,PIK3CA,PIK3CA(E545A),10001,10001,10001,10001,1.5,10001,10001,10001,10001,83,10001,10001
NP_006209.2,PIK3CA,PIK3CA(E545K),10001,10001,10001,10001,1.5,10001,10001,10001,10001,72,10001,10001
NP_006209.2,PIK3CA,PIK3CA(H1047L),10001,10001,10001,10001,3.2,10001,10001,10001,10001,300,10001,10001
NP_006209.2,PIK3CA,PIK3CA(H1047Y),10001,10001,10001,10001,3.4,10001,10001,10001,10001,150,10001,10001
NP_006209.2,PIK3CA,PIK3CA(I800L),10001,10001,10001,10001,2.9,10001,10001,10001,10001,140,10001,10001
NP_006209.2,PIK3CA,PIK3CA(M1043I),10001,10001,10001,10001,3,10001,10001,10001,10001,300,10001,10001
NP_006209.2,PIK3CA,PIK3CA(Q546K),10001,10001,10001,10001,1.5,10001,10001,10001,10001,86,10001,10001
NP_006210.1,PIK3CB,PIK3CB,10001,10001,10001,2000,1.7,10001,10001,10001,10001,80,10001,10001
NP_005017.2,PIK3CD,PIK3CD,10001,10001,10001,3100,17,10001,10001,10001,10001,250,10001,10001
NP_002640.2,PIK3CG,PIK3CG,10001,10001,10001,1900,16,10001,10001,10001,10001,5.3,10001,10001
NP_002642.1,PI4KB,PIK4CB,10001,10001,10001,10001,3500,10001,10001,10001,10001,430,10001,10001
NP_002639.1,PIM1,PIM1,10001,10001,10001,250,10001,10001,10001,10001,10001,10001,10001,10001
NP_006866.2,PIM2,PIM2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_001001852.1,PIM3,PIM3,10001,10001,10001,1100,10001,10001,10001,2400,2400,10001,10001,10001
NP_001129110.1,PIP5K1A,PIP5K1A,10001,49,10001,770,10001,3300,10001,130,5400,1800,130,10001
NP_036530.1,PIP5K1C,PIP5K1C,10001,10001,10001,6700,10001,10001,10001,10001,10001,310,10001,10001
NP_003550.1,PIP4K2B,PIP5K2B,10001,17,10001,4500,10001,10001,10001,260,39,7800,140,10001
NP_079055.2,PIP4K2C,PIP5K2C,10001,10001,10001,10001,620,10001,10001,10001,10001,530,10001,10001
NP_002721.1,PRKACA,PKAC-alpha,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_002722.1,PRKACB,PKAC-beta,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_872629.1,PKMYT1,PKMYT1,10001,10001,10001,10001,10001,350,10001,10001,10001,10001,10001,10001
NP_998725.1,PKN1,PKN1,10001,740,10001,10001,10001,2900,10001,1900,710,10001,1500,10001
NP_006247.1,PKN2,PKN2,10001,1400,10001,620,10001,3200,10001,3800,1300,10001,5000,10001
NP_214528.1,pknB,PKNB(M.tuberculosis),10001,3.6,10001,10001,10001,5500,10001,320,87,10001,2200,10001
NP_005021.2,PLK1,PLK1,10001,10001,10001,0.094,10001,1800,10001,10001,10001,10001,10001,10001
NP_006613.2,PLK2,PLK2,10001,10001,10001,500,10001,960,10001,10001,4700,10001,10001,10001
NP_004064.2,PLK3,PLK3,10001,10001,10001,740,10001,10001,10001,10001,10001,10001,10001,10001
NP_055079.2,PLK4,PLK4,10001,53,10001,10001,10001,10001,4500,180,190,10001,9.2,10001
NP_006245.2,PRKCD,PRKCD,10001,10001,10001,3000,10001,1600,10001,10001,10001,10001,10001,10001
NP_005391.1,PRKCE,PRKCE,10001,10001,10001,10001,10001,2400,10001,10001,10001,10001,10001,10001
NP_006246.2,PRKCH,PRKCH,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_002731.3,PRKCI,PRKCI,10001,10001,10001,5800,10001,10001,10001,10001,10001,10001,10001,10001
NP_006248.1,PRKCQ,PRKCQ,10001,5500,10001,10001,10001,910,10001,7200,4300,10001,5300,10001
NP_002733.2,PRKD1,PRKD1,10001,990,10001,10001,10001,10001,10001,2400,310,10001,10001,10001
NP_057541.2,PRKD2,PRKD2,10001,720,10001,10001,10001,10001,10001,3700,380,10001,10001,10001
NP_005804.1,PRKD3,PRKD3,10001,640,10001,1900,10001,4600,10001,2700,280,900,10001,10001
NP_006249.1,PRKG1,PRKG1,10001,14,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_006250.1,PRKG2,PRKG2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_002750.1,EIF2AK2,PRKR,10001,10001,10001,10001,10001,10001,10001,1300,670,10001,10001,10001
NP_005035.1,PRKX,PRKX,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_003904.3,PRPF4B,PRP4,10001,8.4,10001,10001,10001,10001,10001,1300,390,10001,2500,10001
NP_775267.1,PTK2B,PYK2,10001,81,10001,10001,10001,390,10001,600,82,10001,2600,10001
BAA76843.2,KIAA0999,QSK,10001,10001,10001,10001,10001,64,10001,10001,10001,10001,10001,10001
NP_002871.1,RAF1,RAF1,880,10001,10001,10001,3700,10001,230,10001,10001,10001,10001,10001
NP_065681.1,RET,RET,14,31,10001,10001,10001,4800,13,37,13,10001,28,10001
NP_065681.1,RET,RET(M918T),20,30,10001,10001,10001,3800,7.4,24,19,10001,26,10001
NP_065681.1,RET,RET(V804L),10001,9.8,10001,10001,10001,10001,39,18,8.7,10001,8.6,10001
NP_065681.1,RET,RET(V804M),10001,9.6,10001,10001,10001,4200,22,14,5.8,10001,13,10001
NP_113668.2,RIOK1,RIOK1,10001,23,10001,3400,10001,2200,10001,590,35,5800,360,10001
NP_060813.1,RIOK2,RIOK2,10001,10001,10001,10001,770,10001,10001,140,49,1500,250,10001
NP_003822.2,RIOK3,RIOK3,10001,36,10001,2300,10001,1600,10001,9700,3800,10001,600,10001
NP_003795.2,RIPK1,RIPK1,10001,240,10001,10001,10001,10001,10001,1200,370,10001,20,10001
NP_003812.1,RIPK2,RIPK2,9300,10001,10001,10001,10001,3700,1300,10001,10001,500,10001,10001
NP_065690.2,RIPK4,RIPK4,10001,440,10001,10001,10001,10001,10001,10001,2100,97,300,10001
Q6XUX3.1,DSTKY,RIPK5,10001,10001,10001,10001,10001,380,10001,930,1300,10001,10001,10001
NP_005397.1,ROCK1,ROCK1,10001,10001,10001,4900,10001,870,10001,1200,460,10001,10001,10001
NP_004841.2,ROCK2,ROCK2,10001,10001,10001,10001,10001,360,10001,660,140,10001,10001,10001
NP_002935.2,ROS1,ROS1,10001,3700,10001,10001,10001,10001,10001,10001,10001,10001,610,10001
NP_001006945.1,RPS6KA4,RPS6KA4(Kin.Dom.1-N-terminal),10001,620,10001,10001,10001,10001,10001,200,96,10001,10001,10001
NP_003933.1,RPS6KA4,RPS6KA4(Kin.Dom.2-C-terminal),10001,10001,10001,740,10001,10001,10001,2000,2000,10001,10001,10001
NP_872198.1,RPS6KA5,RPS6KA5(Kin.Dom.1-N-terminal),10001,200,10001,10001,10001,10001,10001,150,28,10001,10001,10001
NP_004746.2,RPS6KA5,RPS6KA5(Kin.Dom.2-C-terminal),10001,10001,10001,10001,10001,10001,10001,1500,1700,10001,10001,10001
NP_002944.2,RPS6KA1,RSK1(Kin.Dom.1-N-terminal),10001,180,10001,10001,10001,10001,10001,180,140,10001,7900,10001
NP_002944.2,RPS6KA1,RSK1(Kin.Dom.2-C-terminal),10001,10001,10001,10001,10001,10001,10001,5800,5000,220,10001,10001
NP_004577.1,RPS6KA3,RSK2(Kin.Dom.1-N-terminal),10001,65,10001,190,10001,1200,10001,2100,580,10001,6400,10001
NP_066958.2,RPS6KA2,RSK3(Kin.Dom.1-N-terminal),10001,58,10001,1200,10001,3200,10001,260,17,10001,2000,10001
NP_001006933.1,RPS6KA2,RSK3(Kin.Dom.2-C-terminal),10001,10001,10001,10001,10001,10001,10001,9600,8400,10001,10001,10001
NP_055311.1,RPS6KA6,RSK4(Kin.Dom.1-N-terminal),10001,230,10001,350,10001,2700,10001,3100,2400,10001,10001,10001
NP_055311.1,RPS6KA6,RSK4(Kin.Dom.2-C-terminal),10001,10001,10001,10001,10001,10001,7500,10001,10001,970,10001,10001
NP_003152.1,RPS6KB1,S6K1,10001,190,10001,10001,10001,660,10001,150,48,10001,10001,10001
NP_001019572.1,SBK1,SBK1,10001,110,10001,10001,10001,10001,10001,620,200,10001,10001,10001
P0C264,SgK110,SgK110,10001,2000,10001,10001,10001,10001,10001,5000,1900,10001,530,10001
NP_037389.4,SGK3,SGK3,10001,1000,10001,10001,10001,10001,10001,250,220,10001,10001,10001
NP_775490.2,SIK1,SIK,10001,670,10001,10001,10001,30,10001,2700,3200,10001,2500,10001
NP_056006.1,SIK2,SIK2,10001,280,10001,10001,10001,29,10001,750,580,10001,1700,10001
NP_055535.2,SLK,SLK,1300,51,10001,1100,10001,4.7,1000,460,56,10001,82,10001
NP_112214.1,NUAK2,SNARK,10001,21,10001,23,10001,220,10001,400,150,10001,530,10001
NP_060189.3,SNRK,SNRK,10001,10001,10001,10001,10001,10001,10001,1500,640,10001,10001,10001
NP_005408.1,SRC,SRC,10001,580,10001,10001,10001,1,10001,4900,2100,10001,170,5500
NP_543013.1,SRMS,SRMS,10001,10001,10001,10001,10001,100,9800,62,10001,10001,10001,10001
NP_003128.3,SRPK1,SRPK1,10001,37,10001,10001,10001,10001,10001,4000,250,5200,82,10001
AAC05299.1,SRPK2,SRPK2,10001,36,10001,10001,10001,10001,10001,200,190,10001,680,10001
NP_055185.2,SRPK3,SRPK3,10001,12,10001,7600,10001,3900,10001,120,59,9300,240,10001
CAA06700.1,STK16,STK16,10001,18,10001,10001,10001,10001,10001,730,250,540,610,10001
NP_112168.1,STK33,STK33,10001,1100,10001,10001,10001,37,2400,130,17,10001,10001,10001
NP_543026.1,STK35,STK35,5400,810,10001,10001,10001,2,10001,8.2,1300,10001,10001,10001
NP_056505.1,STK36,STK36,10001,10001,10001,10001,10001,570,3800,10001,10001,10001,10001,10001
NP_037365.2,STK39,STK39,10001,520,10001,10001,10001,3700,10001,430,140,10001,10001,10001
NP_003168.2,SYK,SYK,10001,10001,10001,10001,10001,290,10001,10001,10001,10001,1800,10001
NP_663304.1,MAP3K7,TAK1,1300,4.1,10001,10001,10001,100,690,100,93,2300,2300,10001
NP_065842.1,TAOK1,TAOK1,10001,10001,10001,10001,10001,1300,3100,1200,890,480,290,10001
NP_057235.2,TAOK2,TAOK2,10001,10001,10001,10001,10001,1900,540,10001,10001,10001,430,10001
NP_057365.2,TAOK3,TAOK3,10001,10001,10001,1400,10001,340,2700,310,210,2400,81,10001
NP_037386.1,TBK1,TBK1,10001,150,10001,10001,10001,250,10001,160,120,10001,490,10001
NP_003206.1,TEC,TEC,10001,10001,10001,10001,10001,3200,10001,10001,10001,10001,8700,10001
NP_006276.2,TESK1,TESK1,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,5600,10001
NP_004603.1,TGFBR1,TGFBR1,10001,4200,10001,10001,10001,10001,10001,10001,10001,10001,8400,10001
NP_003233.4,TGFBR2,TGFBR2,10001,10001,10001,10001,10001,10001,6900,10001,10001,10001,10001,10001
NP_005415.1,TIE1,TIE1,10001,2200,10001,1400,10001,2900,68,5700,3900,10001,270,10001
NP_000450.2,TEK,TIE2,10001,1400,10001,10001,10001,3900,2100,10001,10001,10001,450,10001
NP_036422.3,TLK1,TLK1,10001,10001,10001,10001,10001,570,10001,630,740,10001,4000,10001
AAF03095.1,TLK2,TLK2,10001,10001,10001,10001,10001,2100,10001,270,330,10001,10001,10001
NP_055843.1,TNIK,TNIK,10001,53,10001,10001,10001,31,7900,90,25,10001,1800,10001
NP_003976.2,TNK1,TNK1,10001,210,10001,10001,10001,10001,2300,1500,680,10001,83,10001
NP_001010938.1,TNK2,TNK2,10001,1600,10001,10001,10001,29,10001,4900,8900,10001,4400,10001
NP_057062.1,TNNI3K,TNNI3K,220,10001,10001,10001,10001,170,280,10001,10001,1400,10001,10001
NP_001012331.1,NTRK1,TRKA,10001,4.5,10001,10001,10001,3100,6300,480,100,10001,38,10001
NP_006171.2,NTRK2,TRKB,10001,19,10001,10001,10001,1200,2100,990,590,10001,240,10001
AAA75374.1,NTRK3,TRKC,10001,32,10001,10001,10001,3400,600,220,5100,10001,200,10001
NP_060132.3,TRPM6,TRPM6,10001,10001,10001,10001,10001,10001,10001,10001,10001,7.9,10001,10001
NP_114417.1,TSSK1B,TSSK1B,10001,6100,10001,10001,10001,4600,10001,10001,6300,10001,10001,10001
NP_003309.2,TTK,TTK,10001,22,10001,10001,10001,10001,3500,180,63,7700,8100,10001
NP_003319.2,TXK,TXK,10001,860,10001,10001,10001,72,10001,10001,10001,10001,2700,10001
NP_003322.2,TYK2,TYK2(JH1domain-catalytic),10001,37,10001,10001,10001,6500,10001,5100,1600,10001,510,10001
NP_003322.3,TYK2,TYK2(JH2domain-pseudokinase),10001,500,10001,10001,5900,4500,10001,760,360,770,6600,10001
NP_006284.2,TYRO3,TYRO3,10001,4900,10001,10001,10001,61,10001,2400,49,10001,10001,10001
NP_003556.1,ULK1,ULK1,10001,340,10001,10001,10001,1200,10001,82,23,10001,10001,10001
NP_055498.2,ULK2,ULK2,10001,380,10001,1400,10001,450,10001,65,13,10001,10001,10001
NP_001092906.1,ULK3,ULK3,10001,60,10001,10001,10001,460,10001,42,42,10001,310,10001
NP_002244.1,KDR,VEGFR2,26,2.9,10001,10001,10001,10001,59,2.3,1.5,10001,2000,10001
NP_006287.2,VRK2,VRK2,10001,10001,10001,10001,10001,710,10001,10001,10001,10001,10001,10001
NP_003381.1,WEE1,WEE1,10001,2900,10001,10001,10001,510,10001,3000,1100,10001,3200,10001
P0C1S8,WEE2,WEE2,10001,10001,10001,10001,10001,94,10001,10001,10001,10001,4200,10001
NP_001106195.1,STK32A,YANK1,10001,10001,10001,10001,10001,1800,10001,10001,10001,10001,10001,10001
NP_060871.1,STK32B,YANK2,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_775846.2,STK32C,YANK3,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001,10001
NP_005424.1,YES1,YES,5000,80,10001,10001,10001,4,10001,260,120,10001,470,1600
NP_006365.2,STK25,YSK1,10001,10001,10001,10001,10001,900,10001,360,290,10001,4800,10001
NP_079328.3,YSK4,YSK4,200,5.2,10001,2800,930,16,99,12,17,4000,51,10001
NP_598407.1,ZAK,ZAK,8,10001,10001,10001,10001,80,6.3,10001,10001,10001,2800,10001
NP_997402.1,ZAP70,ZAP70,10001,3500,10001,10001,10001,1600,10001,10001,10001,10001,10001,10001
